applicant_id,jurisdiction,protected_group,model_score,approved,manual_review,decision_reason_1,decision_reason_2,us_mode_output,eu_mode_output,portfolio_us_governance_action,portfolio_eu_governance_action
APP-00001,US,1,0.1419,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00002,Singapore,0,0.1206,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00003,US,0,0.1285,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00004,EU,1,0.1123,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00005,US,0,0.0378,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00006,EU,0,0.0509,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00007,UK,1,0.0963,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00008,UK,0,0.0636,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00009,EU,0,0.0674,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00010,US,0,0.1545,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00011,US,1,0.2834,0,0,High debt-to-income ratio,Elevated regional portfolio risk,Adverse-action notice required: High debt-to-income ratio; Elevated regional portfolio risk,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00012,US,0,0.1085,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00013,US,1,0.2535,0,0,Low credit score,Elevated regional portfolio risk,Adverse-action notice required: Low credit score; Elevated regional portfolio risk,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00014,US,1,0.523,0,0,Low credit score,High debt-to-income ratio,Adverse-action notice required: Low credit score; High debt-to-income ratio,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00015,US,0,0.0375,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00016,US,1,0.0882,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00017,UK,0,0.1029,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00018,Singapore,0,0.0345,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00019,EU,0,0.1949,1,1,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Human oversight required for borderline high-risk AI credit decision,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00020,US,0,0.0387,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00021,Singapore,1,0.069,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00022,EU,1,0.0602,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00023,US,0,0.0467,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00024,US,1,0.4402,0,0,Low credit score,High debt-to-income ratio,Adverse-action notice required: Low credit score; High debt-to-income ratio,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00025,UK,1,0.3311,0,0,High debt-to-income ratio,Low credit score,Adverse-action notice required: High debt-to-income ratio; Low credit score,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
APP-00026,EU,1,0.0665,1,0,Approved,Approved,Approved; monitor portfolio-level fair lending metrics,Bias testing and high-risk AI documentation evidence required,Continue monitoring adverse-action reason quality and approval parity as internal governance evidence.,"Trigger high-risk AI bias governance review, document testing, assign human oversight and remediation owner."
